run_id,keyword_id,youtube_id,title,channel_title,published_at,view_count,like_count,comment_count,thumbnail_url,collected_at
1,7,PJ0fQaXPsvw,"케이뱅크 공모주 청약 마감(2일차) | 액스비스, 에스팀 1일차 | 기대 수익 비교",집돈버 구쯔,2026-02-23 17:23,23730,986,27,https://i.ytimg.com/vi/PJ0fQaXPsvw/hqdefault.jpg,2026-02-25 16:09
1,7,fc7xpcPEjWk,"케이뱅크, IPO 9부 능선 넘어…최우형 거취는",서울경제TV,2026-02-24 17:24,2411,10,1,https://i.ytimg.com/vi/fc7xpcPEjWk/hqdefault.jpg,2026-02-25 16:09
1,7,Wp_rx8EGlE8,케이뱅크 최종경쟁률... 균등 11주... 비례 112만원... 거의다 몰빵..!!!,빨간조끼아저씨,2026-02-23 17:09,15098,354,46,https://i.ytimg.com/vi/Wp_rx8EGlE8/hqdefault.jpg,2026-02-25 16:09
1,7,pQacL3Bwja4,케이뱅크 공모주 청약 끝! 예상 수익률은?,똑썸이 주식,2026-02-24 18:01,3625,24,0,https://i.ytimg.com/vi/pQacL3Bwja4/hqdefault.jpg,2026-02-25 16:09
1,7,7oRFCfgDIO0,"[공모주] 케이뱅크 청약 마감 결과 - 83만건, 9.83조 증거금! 액스비스 & 에스팀의 2일차 예상은?",공모주린이의 투자백서,2026-02-23 16:51,39788,1023,64,https://i.ytimg.com/vi/7oRFCfgDIO0/hqdefault.jpg,2026-02-25 16:09
1,7,1XfCve2SMD4,2026.2.23/ 케이뱅크 공모주 청약 마감 리뷰,재테크의 여왕 슈엔슈,2026-02-23 17:02,6176,181,24,https://i.ytimg.com/vi/1XfCve2SMD4/hqdefault.jpg,2026-02-25 16:09
1,7,cS7VjGemC1Y,[콕스톡] 케이뱅크 공모주 청약(2.20 ~ 2.23),콕스톡,2026-02-23 15:22,313,3,0,https://i.ytimg.com/vi/cS7VjGemC1Y/hqdefault.jpg,2026-02-25 16:09
1,7,SnYgLv8yR5I,"""이 가격이면 무조건 산다"" 투자자들이 케이뱅크에 줄 선 결정적 이유 3가지",줍스 ,2026-02-23 19:30,1435,16,0,https://i.ytimg.com/vi/SnYgLv8yR5I/hqdefault.jpg,2026-02-25 16:09
1,7,xN2CRh3JnEc,케이뱅크 공모주 청약 1일차 및 마감 예상 | 기대수익 가장 높은 곳은?,집돈버 구쯔,2026-02-20 17:44,37150,1163,35,https://i.ytimg.com/vi/xN2CRh3JnEc/hqdefault.jpg,2026-02-25 16:09
1,7,rVXBdpQ0-v4,"케이뱅크(K-Bank) 청약 전 필수 시청! 📉공모가 하단 확정, 기회일까 함정일까?",율빈아TV,2026-02-15 16:20,262,6,1,https://i.ytimg.com/vi/rVXBdpQ0-v4/hqdefault.jpg,2026-02-25 16:09
1,7,5mfRx1ix5Ic,케이뱅크 상장합니다,삼척첫눈,2026-02-20 16:33,4084,82,15,https://i.ytimg.com/vi/5mfRx1ix5Ic/hqdefault.jpg,2026-02-25 16:09
1,7,zYjy8Z01TWk,"케이뱅크 청약 결과 ㅣ 액스비스, 에스팀 청약 결과 예상",경제적자유민족,2026-02-23 17:19,30441,1045,51,https://i.ytimg.com/vi/zYjy8Z01TWk/hqdefault.jpg,2026-02-25 16:09
1,7,rn5PdtMI4WM,"케이뱅크, 청약 결과 예상 ㅣ 우리사주 미달 ㅣ 어느 증권사가 유리한가 ?",경제적자유민족,2026-02-21 16:00,58047,1284,60,https://i.ytimg.com/vi/rn5PdtMI4WM/hqdefault.jpg,2026-02-25 16:09
1,7,8L0xdVx2TcI,케이뱅크 균등 11주 = 130만원 공짜? 이것만 하세요,유미디어 주식투자,2026-02-21 03:51,7147,123,2,https://i.ytimg.com/vi/8L0xdVx2TcI/hqdefault.jpg,2026-02-25 16:09
1,7,0yIj7wY38YY,케이뱅크 공모주 청약~ 따상 가능할까~?,이동일,2026-02-24 12:15,8416,18,0,https://i.ytimg.com/vi/0yIj7wY38YY/hqdefault.jpg,2026-02-25 16:09
1,7,xwUAIoy_Ob4,"[공모주] 삼수생 케이뱅크, 드디어 등장! / 공모가 하단 확정.. 그럼 더 부담 없이 참여? / 예상 균등 & 경쟁률 & 기대 수익",주식애소리,2026-02-12 19:15,73734,2297,93,https://i.ytimg.com/vi/xwUAIoy_Ob4/hqdefault.jpg,2026-02-25 16:09
1,7,deTUZ1fupIg,케이뱅크 공모주 청약 전 같이 공부하기,공알남 - 공모주 알려주는 남자,2026-02-10 05:45,1735,14,0,https://i.ytimg.com/vi/deTUZ1fupIg/hqdefault.jpg,2026-02-25 16:09
1,7,eKkQvh6IuKc,"[오늘의 공모주] 케이뱅크 (공모가 밴드하단, 득일까? 실일까?)",공모주 한잔,2026-02-12 20:01,9772,390,17,https://i.ytimg.com/vi/eKkQvh6IuKc/hqdefault.jpg,2026-02-25 16:09
1,7,KmSPrtcGdgo,"케이뱅크 공모주 수요예측 | 카뱅 주가 상승 타이밍에 상장, 기대 수익률은?",집돈버 구쯔,2026-02-12 21:08,25164,1189,41,https://i.ytimg.com/vi/KmSPrtcGdgo/hqdefault.jpg,2026-02-25 16:09
1,7,EmjOP253xIA,2월 공모주 미리보기 ㅣ 케이뱅크 등장,경제적자유민족,2026-02-03 17:00,18097,843,24,https://i.ytimg.com/vi/EmjOP253xIA/hqdefault.jpg,2026-02-25 16:09
1,7,fZrEpZDZjis,"🔥케이뱅크 → 🟢삼수생의 복수극! 케이뱅크 vs 카카오뱅크, 승자는 이미 정해졌다?👉공모가 8300원 확정! 증거금 9.8조원 냉철한 분석 (feat. 에스팀)",주주노트,2026-02-24 07:15,431,15,0,https://i.ytimg.com/vi/fZrEpZDZjis/hqdefault.jpg,2026-02-25 16:09
1,7,YeE8524kHJY,"""기관 많이 들어왔다""…케이뱅크 IPO 청신호 / 한국경제TV뉴스",한국경제TV뉴스,2026-02-10 18:06,16445,139,9,https://i.ytimg.com/vi/YeE8524kHJY/hqdefault.jpg,2026-02-25 16:09
1,7,UjWPzbKV0Tw,"[공모주 청약마감] 액스비스 & 에스팀 청약 마감 결과 - 일반 종목에도 60만 이상의 청약, 두 종목 합쳐서 케이뱅크 이상의 증거금! 청약단위별 예상 비례배정수량은?",공모주린이의 투자백서,2026-02-24 16:35,22739,701,74,https://i.ytimg.com/vi/UjWPzbKV0Tw/hqdefault.jpg,2026-02-25 16:09
1,7,2fIFlHwy1NE,"케이뱅크 공모주 청약, 무조건 이 증권사로 가세요! (우리사주 미달 사태, 균등 비례 최적 가성비 전략)",Econ View Studio,2026-02-22 20:00,4238,34,0,https://i.ytimg.com/vi/2fIFlHwy1NE/hqdefault.jpg,2026-02-25 16:09
1,8,-OE0Bku0ihk,"기초생활수급자 근로장려금 생계급여는? 수급자 근로장려금, 지원금", 영숙아줌마TV,2026-02-24 19:15,1661,94,3,https://i.ytimg.com/vi/-OE0Bku0ihk/hqdefault.jpg,2026-02-25 16:09
1,8,2BZRQuk-NRQ,2026년 근로장려금 총정리! 신청대상.받는금액.신청기간.지급일.신청방법 한눈에 확인하세요,쫌아는아저씨,2026-02-12 19:00,4975,132,11,https://i.ytimg.com/vi/2BZRQuk-NRQ/hqdefault.jpg,2026-02-25 16:09
1,8,4uRyVuIdno8,"근로장려금 총정리 ! 얼마나 받을 수 있을까? (신청방법, 자격조건, 기간)",세무아나,2025-05-17 19:42,71538,406,74,https://i.ytimg.com/vi/4uRyVuIdno8/hqdefault.jpg,2026-02-25 16:09
1,9,_y6GnCG_Zik,"액스비스, 에스팀 공모주 청약 마감(2일차) | 배정수 체크하세요",집돈버 구쯔,2026-02-24 17:09,9696,551,18,https://i.ytimg.com/vi/_y6GnCG_Zik/hqdefault.jpg,2026-02-25 16:09
1,9,w8HJsAzoDVc,"액스비스, 에스팀 결과 ㅣ 몇주 받을까요 ?",경제적자유민족,2026-02-24 16:50,11671,585,58,https://i.ytimg.com/vi/w8HJsAzoDVc/hqdefault.jpg,2026-02-25 16:09
1,9,_BOiKqaXdXM,[공모주] 액스비스 & 에스팀 마감 / 예상 배정 수량은? / 가성비 구간은?,주식애소리,2026-02-24 16:59,14462,558,31,https://i.ytimg.com/vi/_BOiKqaXdXM/hqdefault.jpg,2026-02-25 16:09
1,10,NJUjU9ALj4A,[한국경제TV LIVE],한국경제TV,2023-02-09 00:03,86715726,58408,0,https://i.ytimg.com/vi/NJUjU9ALj4A/hqdefault_live.jpg,2026-02-25 16:09
1,10,S62f6RTy68U,"'투신이냐 사고냐'...한국투자증권 직원 추락사, 커지는 의혹",이포커스,2025-04-01 17:05,5444,34,4,https://i.ytimg.com/vi/S62f6RTy68U/hqdefault.jpg,2026-02-25 16:09
1,11,yDDlUSkBWDo,롯데 신격호 회장 장녀 신영주 충격 별세...,스타핫이슈,2026-02-22 18:38,6368,77,10,https://i.ytimg.com/vi/yDDlUSkBWDo/hqdefault.jpg,2026-02-25 16:09
