keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
주식,1000000,[주식]🚨2월 25일 당장 매수!! 미친 급등 터질 주식 '딱 3종목'🔥#급등주 #로봇관련주 #배터리 #2차전지 #로봇주 #코스피 #코스닥 #연기금 #국민연금 #원전주｜리드남,31030,3575,153
주식,1000000,"삼성전자 SK하이닉스 충격신호 떴다, 말도 안되는 저평가 2차전지 '이 주식' 바닥에서 곧 억소리나게 오를 겁니다 [인생주식]",185569,0,838
주식,1000000,"""수십년 투자하며 깨달았다"" 이익은 극대화 하고 손실은 최소화하는 최적의 실전 투자 방법 (이광수 대표 2부)",31381,1070,51
토트넘 대 아스널,171583,[프리미어리그] 12R 아스날 vs 토트넘 2분 하이라이트,765364,5520,2139
토트넘 대 아스널,171583,[친선경기] 아스날 vs 토트넘 홋스퍼 풀 하이라이트,1561183,10908,2651
토트넘 대 아스널,171583,"[속보] 손흥민 떠나자마자 강등된다고? 토트넘 또 졌다 강등 현실화! 감독 교체도 소용없었다! 16위 추락, 진짜로 강등권 눈앞! 투도르 감독 데뷔전 아스날전 대참패!",80713,1122,436
에버턴 대 맨유,16961,[프리미어리그] 27R 에버턴 vs 맨유 센느 라먼스 주요장면,38417,433,217
에버턴 대 맨유,16961,EVERTON 0-1 MANCHESTER UNITED| Premier League highlights,915963,7602,487
에버턴 대 맨유,16961,맨유 에버턴 참교육했습니다,8130,300,39
pakistan vs england,1000000,England v Pakistan | Urdu Highlights | Men's T20 World Cup 2026,873549,11417,625
pakistan vs england,1000000,England v Pakistan | Match Highlights | Men's T20 World Cup 2026,125076,755,192
pakistan vs england,1000000,1st Innings Highlights | Pakistan Shaheens vs England lions | Match 03 | T20I Series | ZN1K,24327,547,13
챔피언스리그,1000000,"'브뤼헤 돌풍' 잠재운 해트트릭! 쇠를로트, AT 마드리드 16강 이끌다 #SPOTIME #UCL",76897,809,128
챔피언스리그,1000000,굴욕은 한 번으로 족하다! 16강 진출 절실한 레알·PSG #SPOTIME #UCL,150093,768,212
챔피언스리그,1000000,[25/26 UCL] 보되/글림트 vs 인터 밀란 3분 하이라이트｜SPOTV FOOTBALL,107269,852,190
엘에이 fc 대 인터 마이애미,746,[MLS] 1R LAFC vs 인터 마이애미 2분 하이라이트,549753,3457,872
엘에이 fc 대 인터 마이애미,746,[MLS] 1R LAFC vs 인터 마이애미 손흥민 주요장면,1899098,13605,2496
엘에이 fc 대 인터 마이애미,746,LAFC vs. Inter Miami CF | Full Match Highlights | Battle At The Coliseum,2407473,32800,3226
atlético madrid vs club brugge,1000000,HATTRICK SORLOTH !! (4-1) HIGHLIGHT ATLETICO MADRID VS CLUB BRUGGE UEFA CHAMPIONS LEAGUE 25/26 GOALS,24460,98,3
atlético madrid vs club brugge,1000000,Atlético de Madrid ATM vs club brugge 4-1 Highlights & Goals • alexander sorloth hattrick ,23861,123,2
