keyword,avg_view_count,avg_like_count,avg_comment_count,engagement_rate,temperature_status
하이닉스 주가,4491.0,419.7,5.7,9.47,🔥 펄펄 끓는 찐팬
에스팀,7985.3,412.7,45.3,5.74,🔥 펄펄 끓는 찐팬
액스비스,12225.3,567.7,36.3,4.94,🔥 펄펄 끓는 찐팬
비트코인,5411.7,215.7,16.0,4.28,🔥 펄펄 끓는 찐팬
케이뱅크 공모주,32763.0,1019.3,47.7,3.26,🔥 펄펄 끓는 찐팬
주식,86925.0,1630.0,357.7,2.29,♨️ 훈훈한 호감
에어로케이,6051.0,95.7,34.0,2.14,♨️ 훈훈한 호감
엔화,27395.0,318.3,68.3,1.41,🍃 가벼운 관심
신영자,85214.3,763.0,93.7,1.01,🍃 가벼운 관심
김인호,112984.3,992.7,108.0,0.97,🍃 가벼운 관심
