rank_title,positioning,volume_score,momentum_score,total_score
엘에이 fc 대 인터 마이애미,👑 메가 트렌드 (대세),50.0,71.44,56.44
mls,👑 메가 트렌드 (대세),28.41,93.74,48.01
챔피언스리그,💎 스테디셀러 (꾸준함),44.89,50.0,46.42
인테르,💎 스테디셀러 (꾸준함),50.0,22.75,41.83
노시환,🚀 라이징 스타 (급상승),16.6,100.0,41.62
토트넘 대 아스널,🚀 라이징 스타 (급상승),24.99,71.44,38.92
레알 에스파냐 대 엘에이 fc,🚀 라이징 스타 (급상승),24.99,71.44,38.92
psg 대 메스,🚀 라이징 스타 (급상승),12.48,71.44,30.17
울브스 대 아스널,🚀 라이징 스타 (급상승),12.48,71.44,30.17
맨 시티 대 뉴캐슬,🚀 라이징 스타 (급상승),5.05,71.44,24.97
