keyword,avg_view_count,avg_like_count,avg_comment_count,engagement_rate,temperature_status
날씨,5478.7,179.0,11.7,3.48,🔥 펄펄 끓는 찐팬
내일 날씨,7991.7,148.3,8.3,1.96,♨️ 훈훈한 호감
날씨예보,16919.0,221.0,27.7,1.47,🍃 가벼운 관심
일기예보,11633.0,141.7,27.3,1.45,🍃 가벼운 관심
부산날씨,3987.6,51.0,5.6,1.42,🍃 가벼운 관심
대구 날씨,2464.7,28.0,3.0,1.26,🍃 가벼운 관심
강풍 경보,36627.3,143.0,11.0,0.42,🧊 조회수 위주
울산날씨,2399.3,0.0,0.0,0.0,🧊 조회수 위주
