rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope
유튜브 문제가 발생했습니다,57.46,100000.0,1000.0,15.46,-1.1
문상민,51.1,1000.0,100.0,354.67,14.05
파반느,47.07,10000.0,500.0,231.73,11.77
찬란한 너의 계절에,44.49,5000.0,400.0,260.69,8.24
김태리,43.23,2000.0,400.0,235.63,12.03
아너 그녀들의 법정,38.08,100.0,200.0,336.28,-6.83
윤영경,38.02,5000.0,900.0,100.16,10.72
정동원,36.04,500.0,100.0,249.83,6.45
금잔디,32.82,200.0,1000.0,153.89,-6.69
홍자,29.8,200.0,1000.0,110.7,-4.61
